STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,6/15/1948,0,0,0,,82,53,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,6/16/1948,0,0,0,,88,57,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,6/17/1948,0.02,0,0,,91,58,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,6/18/1948,0.5,0,0,,73,50,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,6/19/1948,0.04,0,0,,64,51,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,6/20/1948,0.2,0,0,,74,52,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,6/21/1948,0.24,0,0,,63,51,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,6/22/1948,0.59,0,0,,68,48,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,6/23/1948,0,0,0,,63,43,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,6/24/1948,0,0,0,,76,48,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,6/25/1948,0.01,0,0,,79,51,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,6/26/1948,0,0,0,,72,55,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,6/27/1948,0.07,0,0,,65,50,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,6/28/1948,0.03,0,0,,77,47,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,6/29/1948,0,0,0,,81,52,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,6/30/1948,0,0,0,,90,56,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,7/1/1948,0,0,0,,89,62,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,7/2/1948,0,0,0,,88,55,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,7/3/1948,0,0,0,,86,55,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,7/4/1948,0,0,0,,91,57,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,7/5/1948,0.25,0,0,,92,62,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,7/6/1948,0.05,0,0,,88,60,
USW00023062,"DENVER STAPLETON, CO US",39.76746,-104.86948,1610.6,7/7/1948,0.02,0,0,,91,56,
