STATION,NAME,DATE,DAPR,MDPR,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,TSUN,WDFM,WSF1,WSFG,WSFM,WT01,WT03,WT04,WT05,WT08,WT11,WT16,WT18
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",11/28/1921,,,0,,0,,,60,50,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",11/29/1921,,,0,,0,,,58,49,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",11/30/1921,,,0,,0,,,62,56,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",12/1/1921,,,0.1,,0,,,63,52,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",12/2/1921,,,0,,0,,,60,48,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",12/3/1921,,,0,,0,,,66,53,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",12/4/1921,,,0,,0,,,63,48,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",12/5/1921,,,0,,0,,,58,47,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",12/6/1921,,,0,,0,,,60,46,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",12/7/1921,,,0,,0,,,54,45,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",12/8/1921,,,0.02,,0,,,54,46,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",12/9/1921,,,0,,0,,,58,47,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",12/10/1921,,,0,,0,,,60,48,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",12/11/1921,,,0,,0,,,58,47,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",12/12/1921,,,0,,0,,,60,50,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",12/13/1921,,,0,,0,,,59,46,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",12/14/1921,,,0,,0,,,51,47,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",12/15/1921,,,0,,0,,,52,47,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",12/16/1921,,,0,,0,,,60,47,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",12/17/1921,,,0,,0,,,53,48,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",12/18/1921,,,0.02,,0,,,52,48,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",12/19/1921,,,0.15,,0,,,55,45,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",12/20/1921,,,0.44,,0,,,56,47,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",12/21/1921,,,0.93,,0,,,56,47,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",12/22/1921,,,0.37,,0,,,54,46,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",12/23/1921,,,0.15,,0,,,51,45,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",12/24/1921,,,1.05,,0,,,54,50,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",12/25/1921,,,0.81,,0,,,60,44,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",12/26/1921,,,2.03,,0,,,59,51,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",12/27/1921,,,0.19,,0,,,62,50,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",12/28/1921,,,0,,0,,,59,51,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",12/29/1921,,,0.13,,0,,,56,51,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",12/30/1921,,,0,,0,,,63,52,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",12/31/1921,,,0,,0,,,64,52,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/1/1922,,,0.56,,0,0,,55,48,,,,,,,,,,,,,1,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/2/1922,,,0,,0,0,,56,45,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/3/1922,,,0,,0,0,,43,43,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/4/1922,,,0.07,,0,0,,48,43,,,,,,,,,,,,,1,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/5/1922,,,0,,0,0,,53,43,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/6/1922,,,0.62,,0,0,,52,44,,,,,,,,,,,,,1,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/7/1922,,,0,,0,0,,55,42,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/8/1922,,,0,,0,0,,54,43,,,,,,,,,,,,,,
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1/9/1922,,,0,,0,0,,53,43,,,,,,,,,,,,,,
