STATION,NAME,DATE,DAPR,DASF,MDPR,MDSF,PRCP,SNOW,SNWD,TMAX,TMIN
USW00094745,"WESTCHESTER CO AIRPORT, NY US",1/8/47,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",1/9/47,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",1/10/47,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",1/11/47,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",1/12/47,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",1/13/47,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",1/14/47,,,,,1.8,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",1/15/47,,,,,7.9,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",1/16/47,,,,,8.1,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",1/17/47,,,,,1.5,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",1/18/47,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",1/19/47,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",1/20/47,,,,,15.5,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",1/21/47,,,,,6.6,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",1/22/47,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",1/23/47,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",1/24/47,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",1/25/47,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",1/26/47,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",1/27/47,,,,,5.3,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",1/28/47,,,,,0,,,,
USW00094745,"WESTCHESTER CO AIRPORT, NY US",1/29/47,,,,,0,,,,
