"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"02/23/2015","36","NO2","Tualatin Bradbury Court (TBC) - Near Road Site","41-067-0005","AQS","5","34","1","27","33","36"
"02/24/2015","48","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","7","21","3",".","48","39"
"02/25/2015","53","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","6","19","1",".","53","27"
"02/26/2015","51","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","6","23",".","6","51","24"
"02/27/2015","28","Ozone","Portland - SE Lafayette","41-051-0080","AQS","5","28","0",".","18","25"
"02/28/2015","36","Ozone","Portland - SE Lafayette","41-051-0080","AQS","5","36","1",".","27","25"
"03/01/2015","52","PM2.5","Tualatin Bradbury Court (TBC) - Near Road Site","41-067-0005","AQS","9","28","1","13","52","29"
"03/02/2015","35","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","6","30","1",".","35","27"
"03/03/2015","51","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","8","34","3",".","51","33"
"03/04/2015","60","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","13","31","4","21","60","39"
"03/05/2015","81","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","19","15","4",".","81","35"
"03/06/2015","76","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","22","20","4",".","76","38"
"03/07/2015","64","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","18","28","1","20","64","26"
"03/08/2015","77","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","14","29","3",".","77","33"
"03/09/2015","60","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","17","24","4",".","60","32"
"03/10/2015","55","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","10","18","1","19","55","28"
"03/11/2015","32","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","6","23","1",".","32","25"
"03/12/2015","35","Ozone","Portland - SE Lafayette","41-051-0080","AQS","7","35","0",".","33","33"
"03/13/2015","46","PM2.5","Hillsboro - Hare Field","41-067-0004","AQS","7","23","1","23","46","25"
