"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25"
"04/14/1983","65","CO","","41-051-0078","AQS","65","32","43",".","."
"04/15/1983","82","CO","","41-051-0078","AQS","82","37","52",".","."
"04/16/1983","61","CO","","41-051-0078","AQS","61","40","40",".","."
"04/17/1983","41","CO","","41-051-0075","AQS","41","34","31",".","."
"04/18/1983","53","CO","","41-051-0078","AQS","53","40","19","46","."
"04/19/1983","52","CO","","41-051-0075","AQS","52","26","40",".","."
"04/20/1983","44","CO","","41-051-0078","AQS","44","23","23",".","."
"04/21/1983","61","CO","","41-051-0075","AQS","61","38","19",".","."
"04/22/1983","78","CO","","41-051-0075","AQS","78","29","31",".","."
"04/23/1983","36","CO","","41-051-0075","AQS","36","31","11",".","."
"04/24/1983","37","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","30","37","10","14","."
"04/25/1983","41","CO","","41-051-1002","AQS","41","33","10",".","."
"04/26/1983","50","CO","","41-051-0078","AQS","50","33","11",".","."
"04/27/1983","44","CO","","41-051-0078","AQS","44","38","17",".","."
"04/28/1983","44","CO","","41-051-0078","AQS","44","33","13",".","."
"04/29/1983","48","CO","","41-051-0078","AQS","48","35","20",".","."
"04/30/1983","36","CO","","41-051-0078","AQS","36","34","11","33","."
"05/01/1983","28","Ozone","","41-005-2001","AQS","26","28","11",".","."
"05/02/1983","35","CO","","41-051-1002","AQS","35","30","13",".","."
"05/03/1983","41","CO","","41-051-0078","AQS","41","33","17",".","."
