"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"11/02/2001","76","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","31",".",".","76","."
"11/03/2001","67","PM2.5","Beaverton - Highland Park","41-067-0111","AQS","30",".","25","67","."
"11/04/2001","57","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","15",".",".","57","."
"11/05/2001","45","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","32",".",".","45","."
"11/06/2001","69","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","36",".","20","69","."
"11/07/2001","69","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","63",".",".","69","."
"11/08/2001","76","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","65",".",".","76","."
"11/09/2001","128","PM2.5","VACANT LOT SURROUNDED BY RESIDENCES","41-067-1003","AQS","47",".","51","128","."
"11/10/2001","99","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","53",".",".","99","."
"11/11/2001","85","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","44",".",".","85","."
"11/12/2001","90","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","22",".","21","90","."
"11/13/2001","33","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","26",".",".","33","."
"11/14/2001","20","CO","","41-051-0087","AQS","20",".",".","18","."
"11/15/2001","29","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","22",".","15","29","."
"11/16/2001","57","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","34",".","18","57","."
"11/17/2001","66","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","26",".","20","66","."
"11/18/2001","69","PM2.5","VACANT LOT SURROUNDED BY RESIDENCES","41-067-1003","AQS","23",".","8","69","."
"11/19/2001","31","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","22",".","8","31","."
"11/20/2001","30","PM2.5","SE CORNER OF P.O. PARKING LOT AND SW CORNER OF NEIGHBORING BUILDING","41-051-0244","AQS","26",".","10","30","."
"11/21/2001","38","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","26",".","18","38","."
"11/22/2001","23","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","18",".","6","23","."
"11/23/2001","28","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","24",".","9","28","."
"11/24/2001","36","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","22",".","9","36","."
"11/25/2001","36","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","17",".","9","36","."
"11/26/2001","52","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","32",".","16","52","."
"11/27/2001","66","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","32",".","28","66","."
"11/28/2001","26","CO","","53-011-0010","AQS","26",".","6","18","."
"11/29/2001","33","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","23",".","9","33","."
"11/30/2001","22","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","20",".","6","22","."
"12/01/2001","18","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","18",".","4","18","."
"12/02/2001","26","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","16",".","7","26","."
"12/03/2001","29","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","20",".","11","29","."
"12/04/2001","19","CO","","53-011-0010","AQS","19",".","4","18","."
"12/05/2001","32","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","24",".","7","32","."
"12/06/2001","46","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","27",".","13","46","."
"12/07/2001","99","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","41",".","41","99","."
"12/08/2001","52","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","33",".","15","52","."
"12/09/2001","57","PM2.5","VACANT LOT SURROUNDED BY RESIDENCES","41-067-1003","AQS","19",".","16","57","."
"12/10/2001","29","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","25",".","8","29","."
"12/11/2001","40","PM2.5","Portland - SE Lafayette","41-051-0080","AQS","23",".","11","40","."
