"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"07/13/2009","28","PM2.5","VANCOUVER - MACARTHUR BLVD","53-011-0019","AQS","6","28","1",".","28","6"
"07/14/2009","47","PM2.5","VANCOUVER - MACARTHUR BLVD","53-011-0019","AQS","7","36","3",".","47","8"
"07/15/2009","55","PM2.5","VANCOUVER - MACARTHUR BLVD","53-011-0019","AQS","7","51","4","14","55","15"
"07/16/2009","54","PM2.5","VANCOUVER - MACARTHUR BLVD","53-011-0019","AQS","8","45","4",".","54","18"
"07/17/2009","47","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","7","47","4",".","33","15"
"07/18/2009","31","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","6","31","1","6","27","7"
"07/19/2009","37","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","6","37","1",".","23","6"
"07/20/2009","80","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","7","80","3",".","27","15"
"07/21/2009","77","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","9","77","3","17","51","18"
"07/22/2009","42","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","6","42","3",".","30","10"
"07/23/2009","24","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","8","24","1",".","20","7"
"07/24/2009","33","Ozone","Sherwood  -  Lasich and Roy Rogers (SLR)","41-067-1004","AQS","8","33","1","10","28","9"
"07/25/2009","64","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","7","64","3",".","39","9"
"07/26/2009","49","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","7","49","3",".","35","10"
"07/27/2009","87","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","9","87","6","16","45","21"
"07/28/2009","90","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","7","90","4",".","58","25"
"07/29/2009","84","Ozone","SAUVIE ISLAND-SIS","41-009-0004","AQS","7","84","4",".","62","26"
"07/30/2009","101","Ozone","VANCOUVER - BLAIRMONT DR","53-011-0011","AQS","9","101","3","29","59","10"
"07/31/2009","90","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","7","90","1",".","45","11"
"08/01/2009","50","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","6","50","1",".","43","10"
"08/02/2009","67","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","6","67","1","12","46","12"
"08/03/2009","49","PM2.5","VANCOUVER - MACARTHUR BLVD","53-011-0019","AQS","9","42","1",".","49","11"
"08/04/2009","60","PM2.5","VANCOUVER - MACARTHUR BLVD","53-011-0019","AQS","10","40","1",".","60","13"
"08/05/2009","63","PM2.5","VANCOUVER - MACARTHUR BLVD","53-011-0019","AQS","9","41","3","27","63","15"
"08/06/2009","89","PM2.5","VANCOUVER - MACARTHUR BLVD","53-011-0019","AQS","11","36","1",".","89","13"
"08/07/2009","61","PM2.5","VANCOUVER - MACARTHUR BLVD","53-011-0019","AQS","9","32","1",".","61","14"
"08/08/2009","79","PM2.5","VANCOUVER - MACARTHUR BLVD","53-011-0019","AQS","8","39","1","19","79","12"
"08/09/2009","46","PM2.5","VANCOUVER - MACARTHUR BLVD","53-011-0019","AQS","7","29","1",".","46","10"
"08/10/2009","31","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","10","31","1",".","27","15"
"08/11/2009","38","PM2.5","MULTORPOR-Ski Bowl, Mt. Hood Wilderness","41-005-0102","AQS","5","21","3","10","38","18"
"08/12/2009","20","PM2.5","MULTORPOR-Ski Bowl, Mt. Hood Wilderness","41-005-0102","AQS","6","20","1",".","20","12"
"08/13/2009","27","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","6","27","3",".","25","12"
"08/14/2009","30","PM2.5","VANCOUVER - MACARTHUR BLVD","53-011-0019","AQS","6","26","1","8","30","14"
"08/15/2009","29","PM2.5","VANCOUVER - MACARTHUR BLVD","53-011-0019","AQS","7","22","1",".","29","15"
"08/16/2009","46","PM2.5","VANCOUVER - MACARTHUR BLVD","53-011-0019","AQS","7","33","3",".","46","17"
"08/17/2009","48","PM2.5","VANCOUVER - 4TH PL BLVD E","53-011-0013","AQS","8","40",".","20","48","16"
"08/18/2009","67","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","8","67",".","20","45","20"
"08/19/2009","133","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","22","133","6",".","56","52"
"08/20/2009","38","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","18","38","3","13","36","21"
"08/21/2009","25","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","5","25","1",".","24","12"
"08/22/2009","34","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","5","34","1",".","25","12"
"08/23/2009","39","PM2.5","VANCOUVER - MACARTHUR BLVD","53-011-0019","AQS","6","34","1","11","39","15"
"08/24/2009","45","Ozone","CARUS TRAILER/SPANGLER RD","41-005-0004","AQS","10","45","3",".","43","18"
"08/25/2009","33","PM2.5","WEST END OF ATHLETIC FIELD WITH N EMERSON N, N ROSELAWN S, N WILLIAM","41-051-0246","AQS","10","28","1",".","33","26"
