STATION,STATION_NAME,DATE,TMAX,TMIN,TOBS
GHCND:USC00090430,ATHENS GA US,18581007,83,-9999,-9999
GHCND:USC00090430,ATHENS GA US,18581008,73,47,-9999
GHCND:USC00090430,ATHENS GA US,18581009,72,44,-9999
GHCND:USC00090430,ATHENS GA US,18581010,69,47,-9999
GHCND:USC00090430,ATHENS GA US,18581011,87,53,-9999
GHCND:USC00090430,ATHENS GA US,18581012,63,51,-9999
GHCND:USC00090430,ATHENS GA US,18581013,73,53,-9999
GHCND:USC00090430,ATHENS GA US,18581014,73,47,-9999
GHCND:USC00090430,ATHENS GA US,18581015,70,39,-9999
GHCND:USC00090430,ATHENS GA US,18581016,72,42,-9999
GHCND:USC00090430,ATHENS GA US,18581017,75,47,-9999
GHCND:USC00090430,ATHENS GA US,18840501,87,69,-9999
GHCND:USC00090430,ATHENS GA US,18840502,79,64,-9999
GHCND:USC00090430,ATHENS GA US,18840503,83,60,-9999
GHCND:USC00090430,ATHENS GA US,18840504,84,61,-9999
GHCND:USC00090430,ATHENS GA US,18840505,80,61,-9999
GHCND:USC00090430,ATHENS GA US,18840506,82,62,-9999
GHCND:USC00090430,ATHENS GA US,18840507,80,50,-9999
