STATION,NAME,DATE,PRCP,SNOW,TMAX,TMIN
USC00203858,"HOLLAND, MI US",3/11/1906,2.5,25,1.1,-7.2
USC00203858,"HOLLAND, MI US",3/12/1906,0,0,-2.8,-11.1
USC00203858,"HOLLAND, MI US",3/13/1906,0,0,-3.3,-11.7
USC00203858,"HOLLAND, MI US",3/14/1906,0,0,-0.6,-8.9
USC00203858,"HOLLAND, MI US",3/15/1906,0,0,-1.7,-11.7
USC00203858,"HOLLAND, MI US",3/16/1906,0,0,-1.1,-12.2
USC00203858,"HOLLAND, MI US",3/17/1906,0,0,-2.2,-8.3
USC00203858,"HOLLAND, MI US",3/18/1906,0,0,1.1,-7.2
USC00203858,"HOLLAND, MI US",3/19/1906,5.1,51,0.6,-4.4
USC00203858,"HOLLAND, MI US",3/20/1906,0,0,5,-8.9
USC00203858,"HOLLAND, MI US",3/21/1906,0,0,3.3,-10
USC00203858,"HOLLAND, MI US",3/22/1906,0,0,-4.4,-15.6
USC00203858,"HOLLAND, MI US",3/23/1906,0,0,-1.7,-12.8
USC00203858,"HOLLAND, MI US",3/24/1906,0,0,0,-11.1
USC00203858,"HOLLAND, MI US",3/25/1906,0,0,6.1,-11.1
USC00203858,"HOLLAND, MI US",3/26/1906,23.6,0,13.9,0.6
USC00203858,"HOLLAND, MI US",3/27/1906,3.6,0,14.4,0.6
USC00203858,"HOLLAND, MI US",3/28/1906,0,0,5,-1.1
USC00203858,"HOLLAND, MI US",3/29/1906,0,0,10,-3.9
USC00203858,"HOLLAND, MI US",3/30/1906,0,0,13.3,0.6
USC00203858,"HOLLAND, MI US",3/31/1906,0,0,9.4,-3.3
USC00203858,"HOLLAND, MI US",4/1/1906,0,0,8.3,-5.6
USC00203858,"HOLLAND, MI US",4/2/1906,0,0,13.9,-4.4
USC00203858,"HOLLAND, MI US",4/3/1906,0,0,21.1,2.8
USC00203858,"HOLLAND, MI US",4/4/1906,0,0,18.3,2.2
USC00203858,"HOLLAND, MI US",4/5/1906,6.9,0,4.4,-1.7
USC00203858,"HOLLAND, MI US",4/6/1906,0,0,7.8,-2.8
USC00203858,"HOLLAND, MI US",4/7/1906,0,0,16.1,3.9
USC00203858,"HOLLAND, MI US",4/8/1906,10.7,0,13.3,4.4
USC00203858,"HOLLAND, MI US",4/9/1906,8.1,0,11.7,3.3
USC00203858,"HOLLAND, MI US",4/10/1906,1.3,0,6.7,2.8
USC00203858,"HOLLAND, MI US",4/11/1906,0,0,13.3,3.3
USC00203858,"HOLLAND, MI US",4/12/1906,0,0,21.1,3.9
USC00203858,"HOLLAND, MI US",4/13/1906,1.8,0,26.7,9.4
USC00203858,"HOLLAND, MI US",4/14/1906,14.5,0,21.1,5.6
USC00203858,"HOLLAND, MI US",4/15/1906,0.5,0,9.4,1.7
USC00203858,"HOLLAND, MI US",4/16/1906,0,0,11.1,-2.8
USC00203858,"HOLLAND, MI US",4/17/1906,0,0,17.2,0.6
USC00203858,"HOLLAND, MI US",4/18/1906,0,0,20.6,2.8
USC00203858,"HOLLAND, MI US",4/19/1906,0,0,23.9,8.3
USC00203858,"HOLLAND, MI US",4/20/1906,0,0,18.9,1.1
USC00203858,"HOLLAND, MI US",4/21/1906,0,0,18.3,4.4
USC00203858,"HOLLAND, MI US",4/22/1906,1.8,0,14.4,-0.6
USC00203858,"HOLLAND, MI US",4/23/1906,0,0,12.2,-1.7
USC00203858,"HOLLAND, MI US",4/24/1906,0,0,17.2,-1.1
USC00203858,"HOLLAND, MI US",4/25/1906,0,0,27.2,7.2
USC00203858,"HOLLAND, MI US",4/26/1906,0.8,0,21.1,9.4
USC00203858,"HOLLAND, MI US",4/27/1906,0,0,19.4,4.4
USC00203858,"HOLLAND, MI US",4/28/1906,0,0,21.1,3.9
USC00203858,"HOLLAND, MI US",4/29/1906,1.3,0,21.7,8.3
USC00203858,"HOLLAND, MI US",4/30/1906,0,0,15,4.4
USC00203858,"HOLLAND, MI US",5/1/1906,10.2,0,20,6.7
USC00203858,"HOLLAND, MI US",5/2/1906,3,0,25,6.1
USC00203858,"HOLLAND, MI US",5/3/1906,0,0,17.8,5.6
USC00203858,"HOLLAND, MI US",5/4/1906,3.3,0,24.4,8.3
USC00203858,"HOLLAND, MI US",5/5/1906,0,0,16.1,4.4
USC00203858,"HOLLAND, MI US",5/6/1906,0,0,21.1,2.8
USC00203858,"HOLLAND, MI US",5/7/1906,0,0,10.6,2.2
USC00203858,"HOLLAND, MI US",5/8/1906,7.6,0,16.7,1.7
USC00203858,"HOLLAND, MI US",5/9/1906,0,0,11.1,1.7
USC00203858,"HOLLAND, MI US",5/10/1906,0,0,16.7,-2.2
USC00203858,"HOLLAND, MI US",5/11/1906,0,0,22.2,8.3
USC00203858,"HOLLAND, MI US",5/12/1906,0.3,0,27.8,14.4
USC00203858,"HOLLAND, MI US",5/13/1906,17.8,0,22.2,12.8
USC00203858,"HOLLAND, MI US",5/14/1906,16.5,0,20,10
USC00203858,"HOLLAND, MI US",5/15/1906,0,0,28.3,10.6
USC00203858,"HOLLAND, MI US",5/16/1906,0,0,31.1,14.4
USC00203858,"HOLLAND, MI US",5/17/1906,0,0,29.4,19.4
USC00203858,"HOLLAND, MI US",5/18/1906,0,0,26.7,13.9
USC00203858,"HOLLAND, MI US",5/19/1906,0,0,23.9,7.8
USC00203858,"HOLLAND, MI US",5/20/1906,0,0,20,0.6
USC00203858,"HOLLAND, MI US",5/21/1906,0,0,23.9,6.1
USC00203858,"HOLLAND, MI US",5/22/1906,0,0,30,20
USC00203858,"HOLLAND, MI US",5/23/1906,0,0,29.4,15.6
USC00203858,"HOLLAND, MI US",5/24/1906,0,0,27.8,13.9
USC00203858,"HOLLAND, MI US",5/25/1906,0,0,31.7,15.6
USC00203858,"HOLLAND, MI US",5/26/1906,0,0,29.4,12.8
USC00203858,"HOLLAND, MI US",5/27/1906,25.4,0,15.6,5
USC00203858,"HOLLAND, MI US",5/28/1906,0.3,0,19.4,3.3
USC00203858,"HOLLAND, MI US",5/29/1906,0,0,18.9,3.3
USC00203858,"HOLLAND, MI US",5/30/1906,11.7,0,20,10
USC00203858,"HOLLAND, MI US",5/31/1906,0.3,0,27.2,11.1
USC00203858,"HOLLAND, MI US",6/1/1906,0,0,21.1,11.1
