STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WSF2
USW00014745,"CONCORD ASOS, NH US",9/6/1939,,,,,20.6,,
USW00014745,"CONCORD ASOS, NH US",9/7/1939,,,,,23.9,3.3,
USW00014745,"CONCORD ASOS, NH US",9/8/1939,1.5,,,,15.6,5.6,
USW00014745,"CONCORD ASOS, NH US",9/9/1939,,,,,24.4,6.1,
USW00014745,"CONCORD ASOS, NH US",9/10/1939,4.3,,,,18.9,11.1,
USW00014745,"CONCORD ASOS, NH US",9/11/1939,,,,,20.6,9.4,
USW00014745,"CONCORD ASOS, NH US",9/12/1939,,,,,22.2,5.6,
USW00014745,"CONCORD ASOS, NH US",9/13/1939,,,,,24.4,-1.7,
USW00014745,"CONCORD ASOS, NH US",9/14/1939,,,,,28.3,1.1,
USW00014745,"CONCORD ASOS, NH US",9/15/1939,,,,,35,11.1,
USW00014745,"CONCORD ASOS, NH US",9/16/1939,,,,,35.6,15.6,
USW00014745,"CONCORD ASOS, NH US",9/17/1939,0.8,,,,24.4,4.4,
USW00014745,"CONCORD ASOS, NH US",9/18/1939,,,,,20,-1.7,
USW00014745,"CONCORD ASOS, NH US",9/19/1939,,,,,23.9,-1.1,
USW00014745,"CONCORD ASOS, NH US",9/20/1939,0,,,,24.4,1.1,
USW00014745,"CONCORD ASOS, NH US",9/21/1939,,,,,21.7,1.1,
USW00014745,"CONCORD ASOS, NH US",9/22/1939,,,,,23.3,-2.2,
USW00014745,"CONCORD ASOS, NH US",9/23/1939,,,,,27.2,4.4,
USW00014745,"CONCORD ASOS, NH US",9/24/1939,,,,,22.2,8.9,
USW00014745,"CONCORD ASOS, NH US",9/25/1939,0,,,,24.4,8.9,
USW00014745,"CONCORD ASOS, NH US",9/26/1939,1,,,,17.8,1.1,
USW00014745,"CONCORD ASOS, NH US",9/27/1939,38.4,,,,7.2,-1.1,
USW00014745,"CONCORD ASOS, NH US",9/28/1939,,,,,19.4,1.7,
USW00014745,"CONCORD ASOS, NH US",9/29/1939,1.3,,,,16.7,3.9,
USW00014745,"CONCORD ASOS, NH US",9/30/1939,5.3,,,,27.8,12.8,
USW00014745,"CONCORD ASOS, NH US",10/1/1939,0.8,,,,17.2,11.1,
USW00014745,"CONCORD ASOS, NH US",10/2/1939,,,,,15,6.7,
USW00014745,"CONCORD ASOS, NH US",10/3/1939,2.3,,,,15.6,3.3,
USW00014745,"CONCORD ASOS, NH US",10/4/1939,,,,,17.8,7.8,
USW00014745,"CONCORD ASOS, NH US",10/5/1939,,,,,26.7,5.6,
USW00014745,"CONCORD ASOS, NH US",10/6/1939,0.5,,,,25.6,8.3,
USW00014745,"CONCORD ASOS, NH US",10/7/1939,,,,,21.7,4.4,
USW00014745,"CONCORD ASOS, NH US",10/8/1939,0,,,,20.6,1.7,
USW00014745,"CONCORD ASOS, NH US",10/9/1939,0,,,,25,11.1,
USW00014745,"CONCORD ASOS, NH US",10/10/1939,,,,,30,11.7,
USW00014745,"CONCORD ASOS, NH US",10/11/1939,,,,,20.6,3.3,
USW00014745,"CONCORD ASOS, NH US",10/12/1939,,,,,12.8,1.7,
USW00014745,"CONCORD ASOS, NH US",10/13/1939,,,,,16.7,-1.7,
USW00014745,"CONCORD ASOS, NH US",10/14/1939,0,,,,13.3,-1.7,
USW00014745,"CONCORD ASOS, NH US",10/15/1939,,,,,8.9,-5.6,
USW00014745,"CONCORD ASOS, NH US",10/16/1939,,,,,17.8,-8.3,
USW00014745,"CONCORD ASOS, NH US",10/17/1939,,,,,12.2,-2.8,
USW00014745,"CONCORD ASOS, NH US",10/18/1939,,,,,7.8,-3.3,
USW00014745,"CONCORD ASOS, NH US",10/19/1939,,,,,18.9,-5,
USW00014745,"CONCORD ASOS, NH US",10/20/1939,0.3,,,,22.2,1.7,
USW00014745,"CONCORD ASOS, NH US",10/21/1939,1,,,,17.8,1.1,
USW00014745,"CONCORD ASOS, NH US",10/22/1939,1,,,,17.2,2.2,
USW00014745,"CONCORD ASOS, NH US",10/23/1939,0,0,,,8.3,-0.6,
USW00014745,"CONCORD ASOS, NH US",10/24/1939,,,,,6.7,-3.9,
USW00014745,"CONCORD ASOS, NH US",10/25/1939,5.8,,,,14.4,-7.8,
USW00014745,"CONCORD ASOS, NH US",10/26/1939,,5,,,8.9,5.6,
USW00014745,"CONCORD ASOS, NH US",10/27/1939,1.5,5,,,8.3,5.6,
USW00014745,"CONCORD ASOS, NH US",10/28/1939,3.6,5,,,16.7,0.6,
USW00014745,"CONCORD ASOS, NH US",10/29/1939,,,,,6.7,-3.3,
USW00014745,"CONCORD ASOS, NH US",10/30/1939,6.4,,,,7.8,-9.4,
USW00014745,"CONCORD ASOS, NH US",10/31/1939,39.9,,,,8.3,4.4,
USW00014745,"CONCORD ASOS, NH US",11/1/1939,,0,0,,11.1,-3.3,
USW00014745,"CONCORD ASOS, NH US",11/2/1939,,0,0,,12.8,-5.6,
USW00014745,"CONCORD ASOS, NH US",11/3/1939,,0,0,,8.3,-6.7,
USW00014745,"CONCORD ASOS, NH US",11/4/1939,,0,0,,10,-7.8,
USW00014745,"CONCORD ASOS, NH US",11/5/1939,12.4,0,0,,4.4,-5,
USW00014745,"CONCORD ASOS, NH US",11/6/1939,1,0,0,,10,2.8,
USW00014745,"CONCORD ASOS, NH US",11/7/1939,,0,0,,11.1,0,
USW00014745,"CONCORD ASOS, NH US",11/8/1939,,0,0,,13.3,1.1,
USW00014745,"CONCORD ASOS, NH US",11/9/1939,0,0,0,,4.4,-4.4,
USW00014745,"CONCORD ASOS, NH US",11/10/1939,0,0,0,,11.1,-4.4,
USW00014745,"CONCORD ASOS, NH US",11/11/1939,0.5,0,0,,10.6,0,
USW00014745,"CONCORD ASOS, NH US",11/12/1939,0,0,0,,6.7,-2.2,
USW00014745,"CONCORD ASOS, NH US",11/13/1939,0.3,0,0,,3.9,-6.1,
USW00014745,"CONCORD ASOS, NH US",11/14/1939,,0,0,,-0.6,-7.8,
USW00014745,"CONCORD ASOS, NH US",11/15/1939,,0,0,,5.6,-7.8,
USW00014745,"CONCORD ASOS, NH US",11/16/1939,,0,0,,11.1,-9.4,
USW00014745,"CONCORD ASOS, NH US",11/17/1939,,0,0,,8.9,-3.9,
USW00014745,"CONCORD ASOS, NH US",11/18/1939,,0,0,,12.2,-8.9,
USW00014745,"CONCORD ASOS, NH US",11/19/1939,,0,0,,5.6,-10,
USW00014745,"CONCORD ASOS, NH US",11/20/1939,,0,0,,3.3,-13.3,
USW00014745,"CONCORD ASOS, NH US",11/21/1939,,0,0,,0,-5.6,
USW00014745,"CONCORD ASOS, NH US",11/22/1939,0,0,0,,3.3,-1.1,
USW00014745,"CONCORD ASOS, NH US",11/23/1939,,0,0,,6.7,-10,
USW00014745,"CONCORD ASOS, NH US",11/24/1939,,0,0,,3.3,-12.2,
USW00014745,"CONCORD ASOS, NH US",11/25/1939,,0,0,,3.3,-8.9,
USW00014745,"CONCORD ASOS, NH US",11/26/1939,,0,0,,9.4,-14.4,
USW00014745,"CONCORD ASOS, NH US",11/27/1939,,0,0,,7.2,-2.2,
USW00014745,"CONCORD ASOS, NH US",11/28/1939,,0,0,,10,-3.3,
USW00014745,"CONCORD ASOS, NH US",11/29/1939,,0,0,,10,-5.6,
USW00014745,"CONCORD ASOS, NH US",11/30/1939,,0,0,,15.6,-6.1,
USW00014745,"CONCORD ASOS, NH US",12/1/1939,0,,,,12.2,-7.8,
USW00014745,"CONCORD ASOS, NH US",12/2/1939,20.1,,,,13.3,-0.6,
USW00014745,"CONCORD ASOS, NH US",12/3/1939,1.8,,,,12.8,5,
USW00014745,"CONCORD ASOS, NH US",12/4/1939,,,,,6.7,-1.7,
USW00014745,"CONCORD ASOS, NH US",12/5/1939,,,,,3.3,-7.2,
USW00014745,"CONCORD ASOS, NH US",12/6/1939,,,,,5.6,-8.3,
USW00014745,"CONCORD ASOS, NH US",12/7/1939,,,,,7.2,-3.3,
USW00014745,"CONCORD ASOS, NH US",12/8/1939,0,,,,6.7,-6.7,
USW00014745,"CONCORD ASOS, NH US",12/9/1939,,,,,0.6,-7.2,
USW00014745,"CONCORD ASOS, NH US",12/10/1939,7.1,,,,2.8,-2.8,
USW00014745,"CONCORD ASOS, NH US",12/11/1939,7.9,0,51,,0,-10,
USW00014745,"CONCORD ASOS, NH US",12/12/1939,,,51,,-1.1,-12.2,
USW00014745,"CONCORD ASOS, NH US",12/13/1939,4.1,0,51,,2.2,-11.1,
USW00014745,"CONCORD ASOS, NH US",12/14/1939,,0,51,,-0.6,-11.1,
USW00014745,"CONCORD ASOS, NH US",12/15/1939,,,51,,-0.6,-16.7,
USW00014745,"CONCORD ASOS, NH US",12/16/1939,,,51,,2.8,-15,
USW00014745,"CONCORD ASOS, NH US",12/17/1939,1.5,,51,,1.1,-3.9,
USW00014745,"CONCORD ASOS, NH US",12/18/1939,,,0,,5,-5.6,
USW00014745,"CONCORD ASOS, NH US",12/19/1939,0,,0,,2.8,-7.2,
USW00014745,"CONCORD ASOS, NH US",12/20/1939,21.3,,0,,1.7,-1.1,
USW00014745,"CONCORD ASOS, NH US",12/21/1939,0,0,0,,3.9,-1.1,
USW00014745,"CONCORD ASOS, NH US",12/22/1939,0,0,0,,-0.6,-6.7,
USW00014745,"CONCORD ASOS, NH US",12/23/1939,,,0,,-2.8,-8.9,
USW00014745,"CONCORD ASOS, NH US",12/24/1939,,,0,,-5,-15,
USW00014745,"CONCORD ASOS, NH US",12/25/1939,0,0,0,,-3.3,-16.7,
USW00014745,"CONCORD ASOS, NH US",12/26/1939,0,0,0,,-7.8,-15.6,
USW00014745,"CONCORD ASOS, NH US",12/27/1939,,,0,,-10,-16.7,
USW00014745,"CONCORD ASOS, NH US",12/28/1939,,,0,,-2.2,-18.9,
USW00014745,"CONCORD ASOS, NH US",12/29/1939,,,0,,-3.9,-17.2,
USW00014745,"CONCORD ASOS, NH US",12/30/1939,4.1,0,76,,-1.1,-16.7,
USW00014745,"CONCORD ASOS, NH US",12/31/1939,0,0,76,,-2.2,-17.8,
USW00014745,"CONCORD ASOS, NH US",1/1/1940,,,76,,-4.4,-18.9,
USW00014745,"CONCORD ASOS, NH US",1/2/1940,,,76,,-5.6,-22.2,
USW00014745,"CONCORD ASOS, NH US",1/3/1940,,,76,,-3.3,-10,
USW00014745,"CONCORD ASOS, NH US",1/4/1940,,,76,,-3.9,-10.6,
USW00014745,"CONCORD ASOS, NH US",1/5/1940,1,,51,,-3.9,-15,
USW00014745,"CONCORD ASOS, NH US",1/6/1940,0.3,25,76,,-5.6,-13.3,
USW00014745,"CONCORD ASOS, NH US",1/7/1940,,,76,,-3.9,-16.7,
USW00014745,"CONCORD ASOS, NH US",1/8/1940,0.5,0,76,,-6.1,-13.3,
USW00014745,"CONCORD ASOS, NH US",1/9/1940,,,51,,-1.7,-21.7,
USW00014745,"CONCORD ASOS, NH US",1/10/1940,,,51,,-3.3,-22.8,
USW00014745,"CONCORD ASOS, NH US",1/11/1940,0.3,,51,,-1.1,-23.3,
USW00014745,"CONCORD ASOS, NH US",1/12/1940,4.1,76,127,,-1.7,-6.1,
USW00014745,"CONCORD ASOS, NH US",1/13/1940,0.3,25,152,,0,-2.8,
USW00014745,"CONCORD ASOS, NH US",1/14/1940,2.3,0,152,,1.1,-1.7,
USW00014745,"CONCORD ASOS, NH US",1/15/1940,45.2,0,76,,4.4,-0.6,
USW00014745,"CONCORD ASOS, NH US",1/16/1940,0,0,76,,-0.6,-15.6,
USW00014745,"CONCORD ASOS, NH US",1/17/1940,,,76,,-10,-18.9,
USW00014745,"CONCORD ASOS, NH US",1/18/1940,,,76,,-6.7,-18.9,
USW00014745,"CONCORD ASOS, NH US",1/19/1940,0,0,76,,-7.8,-17.8,
USW00014745,"CONCORD ASOS, NH US",1/20/1940,0,,51,,-6.7,-22.2,
USW00014745,"CONCORD ASOS, NH US",1/21/1940,,0,51,,-3.3,-14.4,
USW00014745,"CONCORD ASOS, NH US",1/22/1940,,,51,,-0.6,-16.1,
USW00014745,"CONCORD ASOS, NH US",1/23/1940,,,51,,-4.4,-16.7,
USW00014745,"CONCORD ASOS, NH US",1/24/1940,0,0,51,,-5,-13.9,
USW00014745,"CONCORD ASOS, NH US",1/25/1940,0.3,0,51,,-3.9,-13.9,
USW00014745,"CONCORD ASOS, NH US",1/26/1940,,,51,,-5.6,-18.3,
USW00014745,"CONCORD ASOS, NH US",1/27/1940,,,51,,-6.1,-19.4,
USW00014745,"CONCORD ASOS, NH US",1/28/1940,,,51,,-5.6,-12.8,
USW00014745,"CONCORD ASOS, NH US",1/29/1940,,,51,,-2.8,-17.2,
USW00014745,"CONCORD ASOS, NH US",1/30/1940,,,25,,-0.6,-20.6,
USW00014745,"CONCORD ASOS, NH US",1/31/1940,,,25,,0.6,-17.2,
USW00014745,"CONCORD ASOS, NH US",2/1/1940,,,25,,1.1,-7.8,
USW00014745,"CONCORD ASOS, NH US",2/2/1940,,,25,,-0.6,-12.2,
USW00014745,"CONCORD ASOS, NH US",2/3/1940,,,25,,-4.4,-11.7,
USW00014745,"CONCORD ASOS, NH US",2/4/1940,,,25,,-1.7,-12.2,
USW00014745,"CONCORD ASOS, NH US",2/5/1940,,,25,,0.6,-12.8,
USW00014745,"CONCORD ASOS, NH US",2/6/1940,2.3,25,51,,1.1,-13.9,
USW00014745,"CONCORD ASOS, NH US",2/7/1940,0,0,51,,5,-0.6,
USW00014745,"CONCORD ASOS, NH US",2/8/1940,,,51,,3.9,-3.9,
USW00014745,"CONCORD ASOS, NH US",2/9/1940,,,51,,0,-10.6,
USW00014745,"CONCORD ASOS, NH US",2/10/1940,18.5,51,102,,0,-10,
