STATION,STATION_NAME,DATE,PRCPA,TMAXA,TMINA
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140615,0,33.9,10
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140616,0,28.3,10
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140617,0,24.4,11.7
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140618,0,23.3,11.1
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140619,0,24.4,10
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140620,5.8,24.4,10
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140621,6.4,23.3,7.8
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140622,0,18.9,7.8
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140623,0,23.9,10
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140624,10.2,23.3,11.1
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140625,0,22.2,11.1
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140626,0,24.4,6.7
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140627,0,23.3,5.6
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140628,0,24.4,6.7
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140629,0,28.3,6.7
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140630,0,32.2,9.4
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140701,0,30,10
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140702,0,26.7,18.9
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140703,0,26.7,18.9
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140704,0,23.9,7.8
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140705,0,22.8,11.1
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140706,0,26.7,5.6
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140707,0,28.9,-9999
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140708,0,26.7,10
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140709,0,27.8,-9999
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140710,0,27.8,8.3
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140711,0,25.6,12.2
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140712,0,27.8,11.1
GHCND:USC00456803,PUYALLUP 2 W EXPERIMENTAL STATION WA US,19140713,0,24.4,13.3
