STATION,STATION_NAME,DATE,PRCP
GHCND:USC00444128,HOT SPRINGS VA US,18970117,6.4
GHCND:USC00444128,HOT SPRINGS VA US,18970118,0
GHCND:USC00444128,HOT SPRINGS VA US,18970120,16
GHCND:USC00444128,HOT SPRINGS VA US,18970121,0
GHCND:USC00444128,HOT SPRINGS VA US,18970127,10.2
GHCND:USC00444128,HOT SPRINGS VA US,18970201,20.3
GHCND:USC00444128,HOT SPRINGS VA US,18970202,5.1
GHCND:USC00444128,HOT SPRINGS VA US,18970203,0
GHCND:USC00444128,HOT SPRINGS VA US,18970204,0
GHCND:USC00444128,HOT SPRINGS VA US,18970205,2.5
GHCND:USC00444128,HOT SPRINGS VA US,18970206,78.7
GHCND:USC00444128,HOT SPRINGS VA US,18970207,0
GHCND:USC00444128,HOT SPRINGS VA US,18970208,1.3
GHCND:USC00444128,HOT SPRINGS VA US,18970209,0
GHCND:USC00444128,HOT SPRINGS VA US,18970210,0
GHCND:USC00444128,HOT SPRINGS VA US,18970211,1
GHCND:USC00444128,HOT SPRINGS VA US,18970212,18
GHCND:USC00444128,HOT SPRINGS VA US,18970213,0
GHCND:USC00444128,HOT SPRINGS VA US,18970214,0
GHCND:USC00444128,HOT SPRINGS VA US,18970215,0
GHCND:USC00444128,HOT SPRINGS VA US,18970216,0
GHCND:USC00444128,HOT SPRINGS VA US,18970217,0
GHCND:USC00444128,HOT SPRINGS VA US,18970218,4.1
GHCND:USC00444128,HOT SPRINGS VA US,18970219,0
GHCND:USC00444128,HOT SPRINGS VA US,18970220,7.4
GHCND:USC00444128,HOT SPRINGS VA US,18970221,5.1
GHCND:USC00444128,HOT SPRINGS VA US,18970222,0.8
GHCND:USC00444128,HOT SPRINGS VA US,18970223,32.5
GHCND:USC00444128,HOT SPRINGS VA US,18970224,0
GHCND:USC00444128,HOT SPRINGS VA US,18970225,0
GHCND:USC00444128,HOT SPRINGS VA US,18970226,0
GHCND:USC00444128,HOT SPRINGS VA US,18970227,0
GHCND:USC00444128,HOT SPRINGS VA US,18970228,0
