Sample Name,Date and Time Acquired,Dilution Factor,Data File Name,Batch Name,Data Path,Operator,Instrument Name,Misc. Info or Comment,Sample Weihgt or Volume,Final Weight or Volume,Dilution Multiplier,Tune Step,Analyte,Element Full Name,Mass,ISTD Ref Mass,Concentration,Conc RSD,Min Conc,CPS Mean,CPS Rep1,CPS Rep2,CPS Rep3,Conc Rep1,Conc Rep2,Conc Rep3,CPS RSD,Units
Std 1/10,10/27/2017 12:30:49 PM,1,004CALS.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Ba,barium,137,115,4.629,31.6,0.000,2804564.12,3308459.95,2711322.46,2393909.96,6.087,4.633,3.165,16.6,ppm
Std 1/10,10/27/2017 12:30:49 PM,1,004CALS.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Tb,terbium,159,,,,0.000,2443696.79,2022678.88,2396610.90,2911800.58,,,,18.3,
Std 1/10,10/27/2017 12:30:49 PM,1,004CALS.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Lu,lutetium,175,,,,0.000,2927416.31,2503459.96,2789849.02,3488939.95,,,,17.3,
Std 1/10,10/27/2017 12:30:49 PM,1,004CALS.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Pb,lead,208,209,1.191,38.2,0.000,2184425.38,2399864.96,2209488.40,1943922.78,1.645,1.192,0.735,10.5,ppm
Std 1/10,10/27/2017 12:30:49 PM,1,004CALS.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Bi,bismuth,209,,,,0.000,1788964.14,1316189.98,1670282.63,2380419.81,,,,30.3,
Std,10/27/2017 12:32:58 PM,1,005CALS.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Li,lithium,6,,,,0.000,35059.90,33288.39,37218.07,34673.23,,,,5.7,
Std,10/27/2017 12:32:58 PM,1,005CALS.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Sc,scandium,45,,,,0.000,1302472.85,1171744.36,1428142.48,1307531.70,,,,9.8,
Std,10/27/2017 12:32:58 PM,1,005CALS.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Cr,chromium,52,45,9.983,11.3,0.000,18545681.81,17587755.99,17827043.48,20222245.95,10.466,8.698,10.785,7.9,ppm
Std,10/27/2017 12:32:58 PM,1,005CALS.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Ge,germanium,72,,,,0.000,415940.47,386018.74,415693.98,446108.70,,,,7.2,
Std,10/27/2017 12:32:58 PM,1,005CALS.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,As,arsenic,75,72,,,0.000,21109.51,20825.72,20625.41,21877.41,,,,3.2,ppm
Std,10/27/2017 12:32:58 PM,1,005CALS.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Se,selenium,78,72,9.989,9.9,0.000,1148350.53,1191458.81,1093927.95,1159664.83,11.124,9.479,9.363,4.3,ppm
Std,10/27/2017 12:32:58 PM,1,005CALS.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Rh,rhodium,103,,,,0.000,1823058.93,1698794.66,1900142.63,1870239.50,,,,6.0,
Std,10/27/2017 12:32:58 PM,1,005CALS.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Ag,silver,107,103,9.965,19.6,0.000,12356083.98,13833992.29,13011734.81,10222524.85,11.901,10.007,7.988,15.3,ppm
Std,10/27/2017 12:32:58 PM,1,005CALS.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,In,indium,115,,,,0.000,2740170.27,2698861.21,2822622.46,2699027.15,,,,2.6,
Std,10/27/2017 12:32:58 PM,1,005CALS.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Ba,barium,137,115,39.938,2.8,0.000,30501861.21,30802914.54,31569562.03,29133107.07,40.952,40.131,38.730,4.1,ppm
Std,10/27/2017 12:32:58 PM,1,005CALS.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Tb,terbium,159,,,,0.000,2810388.81,2467249.96,2966595.27,2997321.21,,,,10.6,
Std,10/27/2017 12:32:58 PM,1,005CALS.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Lu,lutetium,175,,,,0.000,3455924.95,3205117.45,3622419.95,3540237.45,,,,6.4,
Std,10/27/2017 12:32:58 PM,1,005CALS.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Pb,lead,208,209,9.981,7.9,0.000,25042935.46,25475274.62,25786709.62,23866822.14,10.846,9.796,9.301,4.1,ppm
Std,10/27/2017 12:32:58 PM,1,005CALS.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Bi,bismuth,209,,,,0.000,2273050.02,2122292.31,2378329.03,2318528.72,,,,5.9,
14A Dil,10/27/2017 12:35:05 PM,1,006SMPL.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Li,lithium,6,,,,0.000,31357.91,31694.96,28888.94,33489.82,,,,7.4,
14A Dil,10/27/2017 12:35:05 PM,1,006SMPL.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Sc,scandium,45,,,,0.000,1057195.11,1140489.67,930074.28,1101021.39,,,,10.6,
14A Dil,10/27/2017 12:35:05 PM,1,006SMPL.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Cr,chromium,52,45,0.033,40.3,0.000,97689.14,96470.71,107750.02,88846.68,0.027,0.049,0.024,9.7,ppm
14A Dil,10/27/2017 12:35:05 PM,1,006SMPL.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Ge,germanium,72,,,,0.000,351915.78,372421.67,302969.88,380355.78,,,,12.1,
14A Dil,10/27/2017 12:35:05 PM,1,006SMPL.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,As,arsenic,75,72,,,0.000,46037.35,44702.25,49660.34,43749.47,,,,6.9,ppm
14A Dil,10/27/2017 12:35:05 PM,1,006SMPL.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Se,selenium,78,72,0.008,72.5,0.000,4687.49,4910.88,4570.78,4580.80,0.007,0.014,0.003,4.1,ppm
14A Dil,10/27/2017 12:35:05 PM,1,006SMPL.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Rh,rhodium,103,,,,0.000,1468897.77,1588114.35,1262506.47,1556072.48,,,,12.2,
14A Dil,10/27/2017 12:35:05 PM,1,006SMPL.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Ag,silver,107,103,0.178,18.9,0.000,176664.87,164169.29,186571.97,179253.34,0.151,0.216,0.168,6.5,ppm
14A Dil,10/27/2017 12:35:05 PM,1,006SMPL.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,In,indium,115,,,,0.000,2323022.46,2551633.24,2054666.53,2362767.62,,,,10.8,
14A Dil,10/27/2017 12:35:05 PM,1,006SMPL.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Ba,barium,137,115,0.103,17.8,0.000,70914.81,72900.63,75446.54,64397.27,0.095,0.124,0.090,8.2,ppm
14A Dil,10/27/2017 12:35:05 PM,1,006SMPL.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Tb,terbium,159,,,,0.000,2323941.63,2685793.71,1845125.29,2440905.90,,,,18.6,
14A Dil,10/27/2017 12:35:05 PM,1,006SMPL.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Lu,lutetium,175,,,,0.000,2942984.33,3375694.95,2348087.15,3105170.89,,,,18.1,
14A Dil,10/27/2017 12:35:05 PM,1,006SMPL.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Pb,lead,208,209,0.275,26.9,0.000,555562.84,546696.63,615760.46,504231.44,0.235,0.361,0.230,10.1,ppm
14A Dil,10/27/2017 12:35:05 PM,1,006SMPL.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Bi,bismuth,209,,,,0.000,1850759.82,2070536.69,1527469.51,1954273.25,,,,15.5,
15A Dil,10/27/2017 12:37:20 PM,1,007SMPL.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Li,lithium,6,,,,0.000,33516.92,26606.06,36526.15,37418.54,,,,17.9,
15A Dil,10/27/2017 12:37:20 PM,1,007SMPL.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Sc,scandium,45,,,,0.000,1202837.85,864512.49,1355890.14,1388110.92,,,,24.4,
15A Dil,10/27/2017 12:37:20 PM,1,007SMPL.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Cr,chromium,52,45,0.024,101.7,0.000,89278.81,103466.43,81083.60,83286.41,0.052,0.010,0.010,13.8,ppm
15A Dil,10/27/2017 12:37:20 PM,1,007SMPL.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Ge,germanium,72,,,,0.000,387542.45,295897.59,441254.33,425475.42,,,,20.6,
15A Dil,10/27/2017 12:37:20 PM,1,007SMPL.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,As,arsenic,75,72,,,0.000,26565.66,27848.25,25663.84,26184.88,,,,4.3,ppm
15A Dil,10/27/2017 12:37:20 PM,1,007SMPL.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Se,selenium,78,72,0.002,436.1,0.000,4484.08,4400.71,4270.68,4780.84,0.013,-0.006,0.000,5.9,ppm
15A Dil,10/27/2017 12:37:20 PM,1,007SMPL.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Rh,rhodium,103,,,,0.000,1711673.10,1139622.48,1987866.06,2007530.75,,,,28.9,
15A Dil,10/27/2017 12:37:20 PM,1,007SMPL.d,10272017_MLH-HVR3.b,D:\Agilent\ICPMH\1\DATA,admin,G3665A,,1.0,1.0,1,1,Ag,silver,107,103,0.050,55.3,0.000,52850.78,64398.08,46400.27,47754.00,0.082,0.034,0.035,19.0,ppm
