Stock,Site,Treatment,Pretreatment,Error,N,Delta,Error,N
total,MT,Mechanical+Fire,131.9,19.02,3,-26.93,11.77,3
total,AZ,Control,139.1,5.44,3,8.5,5.53,3
total,AZ,Prescribed Fire,NA,NA,NA,NA,NA,NA
total,AZ,Mechanical,NA,NA,NA,NA,NA,NA
total,AZ,Mechanical+Fire,162.17,24.88,3,-41.23,8.75,3
total,AL,Control,124.57,12.07,3,18.13,4.03,3
total,AL,Prescribed Fire,126.77,10.09,3,10.87,1.02,3
total,AL,Mechanical,124.9,13.17,3,-4.13,3.99,3
total,AL,Mechanical+Fire,125.6,21.34,3,-0.03,3.42,3
total,OH,Control,229.07,4.23,3,6.97,5.11,3
total,OH,Prescribed Fire,211.8,5.57,3,14.37,9.53,3
total,OH,Mechanical,233.7,12.91,3,-15.73,14.78,3
total,OH,Mechanical+Fire,219.57,14.15,3,-30.03,6.17,3
total,SC,Control,186.47,20.74,3,-30.27,17.63,3
total,SC,Prescribed Fire,135.53,10.12,3,-10.73,3.97,3
total,SC,Mechanical,143.43,10.93,3,-23.77,8.97,3
total,SC,Mechanical+Fire,145.97,1.97,3,-31.37,11.94,3
total,NC,Control,169.1,13.27,3,23.97,10.55,3
total,NC,Prescribed Fire,171.33,5.34,3,-9.83,6.84,3
total,NC,Mechanical,209.93,6.01,3,-27.43,6.13,3
total,NC,Mechanical+Fire,184.9,4.98,3,-27.37,11.47,3
total,FL,Control,NA,NA,NA,NA,NA,NA
total,FL,Prescribed Fire,NA,NA,NA,NA,NA,NA
total,FL,Mechanical,NA,NA,NA,NA,NA,NA
total,FL,Mechanical+Fire,NA,NA,NA,NA,NA,NA
total,,,,,,,,
