Identification,Latitude,Longitude,Time of Observation,Sea Surface Temperature
ATGM1,44.4,291.8,2015-01-02T16:36:00,4.8
ATGM1,44.4,291.8,2015-01-02T16:42:00,4.8
ATGM1,44.4,291.8,2015-01-02T16:48:00,4.8
ATGM1,44.4,291.8,2015-01-02T16:54:00,4.8
ATGM1,44.4,291.8,2015-01-02T17:00:00,4.8
ATGM1,44.4,291.8,2015-01-02T17:06:00,4.8
ATGM1,44.4,291.8,2015-01-02T17:18:00,4.8
ATGM1,44.4,291.8,2015-01-02T17:24:00,4.8
ATGM1,44.4,291.8,2015-01-02T17:30:00,4.8
ATGM1,44.4,291.8,2015-01-02T17:36:00,4.8
ATGM1,44.4,291.8,2015-01-02T17:42:00,4.8
ATGM1,44.4,291.8,2015-01-02T17:48:00,4.7
ATGM1,44.4,291.8,2015-01-02T17:54:00,4.7
ATGM1,44.4,291.8,2015-01-02T18:00:00,4.7
ATGM1,44.4,291.8,2015-01-02T18:06:00,4.7
ATGM1,44.4,291.8,2015-01-02T18:12:00,4.7
ATGM1,44.4,291.8,2015-01-02T18:18:00,4.7
ATGM1,44.4,291.8,2015-01-02T18:24:00,4.7
ATGM1,44.4,291.8,2015-01-02T18:30:00,4.7
ATGM1,44.4,291.8,2015-01-02T18:36:00,4.7
ATGM1,44.4,291.8,2015-01-02T18:42:00,4.7
ATGM1,44.4,291.8,2015-01-02T18:48:00,4.7
ATGM1,44.4,291.8,2015-01-02T18:54:00,4.7
ATGM1,44.4,291.8,2015-01-02T19:00:00,4.7
ATGM1,44.4,291.8,2015-01-02T19:06:00,4.7
ATGM1,44.4,291.8,2015-01-02T19:12:00,4.7
ATGM1,44.4,291.8,2015-01-02T19:18:00,4.7
ATGM1,44.4,291.8,2015-01-02T19:24:00,4.7
ATGM1,44.4,291.8,2015-01-02T19:30:00,4.7
ATGM1,44.4,291.8,2015-01-02T19:36:00,4.7
ATGM1,44.4,291.8,2015-01-02T19:42:00,4.7
ATGM1,44.4,291.8,2015-01-02T19:48:00,4.7
