STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,12/21/2011,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,12/22/2011,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,12/23/2011,0.5,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,12/24/2011,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,12/26/2011,6.6,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,12/27/2011,9.1,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,12/30/2011,20.8,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,12/31/2011,0.5,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,1/1/2012,0.5,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,1/2/2012,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,1/3/2012,12.7,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,1/4/2012,13,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,1/5/2012,6.6,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,1/6/2012,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,1/7/2012,2.3,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,1/8/2012,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,1/9/2012,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,1/10/2012,2,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,1/11/2012,0.5,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,1/12/2012,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,1/13/2012,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,1/14/2012,1.3,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,1/15/2012,9.7,",,N",79,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,1/16/2012,0,"T,,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,1/17/2012,21.3,",,N",127,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,1/18/2012,47.8,",,N",305,",,N",381,",,N",,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,1/22/2012,5.6,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,1/23/2012,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,1/24/2012,14.2,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,1/25/2012,31,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,1/26/2012,5.8,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,1/27/2012,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,1/28/2012,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,1/29/2012,10.7,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,1/30/2012,16.5,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,1/31/2012,0.5,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,2/1/2012,5.6,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,2/2/2012,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,2/3/2012,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,2/4/2012,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,2/5/2012,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,2/6/2012,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,2/7/2012,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,2/8/2012,6.4,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,2/9/2012,6.4,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,2/13/2012,2.5,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,2/14/2012,2,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,2/15/2012,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,2/16/2012,2.5,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,2/17/2012,1.3,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,2/18/2012,34.3,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,2/19/2012,0.8,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,2/20/2012,2.5,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,2/21/2012,2,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,2/22/2012,16.3,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,2/23/2012,1.3,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,2/24/2012,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,2/25/2012,11.2,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,2/26/2012,1,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,2/27/2012,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,2/28/2012,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,2/29/2012,16.8,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,3/1/2012,4.8,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,3/2/2012,0.8,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,3/3/2012,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,3/4/2012,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,3/5/2012,16.5,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,3/6/2012,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,3/7/2012,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,3/8/2012,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,3/9/2012,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,3/10/2012,8.6,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,3/11/2012,11.2,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,3/12/2012,18.3,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,3/15/2012,36.1,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,3/16/2012,22.4,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,3/17/2012,9.7,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,3/18/2012,2,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,3/19/2012,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,3/20/2012,10.2,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,3/21/2012,8.1,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,3/22/2012,2.5,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,3/23/2012,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,3/24/2012,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,3/25/2012,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,3/26/2012,1.3,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,3/27/2012,8.1,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,4/2/2012,0.8,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,4/3/2012,5.8,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,4/4/2012,1.3,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,4/5/2012,11.4,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,4/6/2012,0.5,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,4/7/2012,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,4/8/2012,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,4/9/2012,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,4/10/2012,0,",,N",0,",,N",,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,4/11/2012,2.5,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,4/12/2012,3.6,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,4/13/2012,3,",,N",,,,,,,,,,
US1WATH0031,"OLYMPIA 4.5 NW, WA US",47.0927,-122.9543,58.5,4/14/2012,0,",,N",0,",,N",,,,,,,,
